study_id	included	LatDD	LonDD	elevation	citation_title	site_name	island_name	archipelago	ocean	sample_parent_material	earliest_extent_ybp	latest_is_present_day	latest_extent_ybp	timeline_length	radiocarbon_calibrated	n_samples	proxy_groups	drivers_of_change_proxies	data_online_repository_uri
6171839	included	70.97280121	-8.694399834	11	Five Short Pollen Diagrams of Soils from Jan Mayen Norway a Testimony of a Dynamic Landscape	Kvalrossbukta	Jan Mayen	Jan Mayen	Arctic	peatland	25	FALSE	-27	52	yes	28	pollen;spores	none	none
6156686	included	-39.23532104	176.8944397	159	Corroded pollen and spores as indicators of changing lake sediment sources and catchment disturbance	Waikopiro	North Island	New Zealand	Pacific	lake	80	TRUE	0	80	no	49	pollen	charcoal;pollen summary	none
6157598	included	-52.56472397	169.1152802	360	Climate, fire, farming and the recent vegetation history of subantarctic Campbell Island	Mt Azimuth (S-360 X9914 )	Campbell Island	Campbell Islands	Sub-Antarctic	peatland	82	TRUE	0	82	no	12	pollen;spores	none	none
6157392	excluded	-36.97905731	174.8434296	12	Vegetation and climate of Auckland, New Zealand, since ca.32 000 cal. yr ago: support for an extended LGM	Kohuora core B	North Island	New Zealand	Pacific	peatland	29700	FALSE	17000	12700	no	21	pollen	none	No in the Holocene
6157503	included	-39.78388977	176.7011108	21	Phytolith analysis and paleoenvironmental reconstruction from Lake Poukawa Core, Hawkes Bay, New Zealand	Poukawa	North Island	New Zealand	Pacific	lake	113	TRUE	0	113	no	190	phytoliths	none	none
6169954	included	-40.33401489	175.838974	64	Late quaternary palynology of the southern Ruahine Range North Island, New Zealand	West Ballantrae, Ruahine Range	North Island	New Zealand	Pacific	soil	13000	FALSE	12900	100	no	7	pollen	sedimentology	none
6169417	included	-25.06833267	-130.1055603	2.3	Analysis of plant microfossils in archaeological deposits from two remote archipelagos: The Marshall Islands, Eastern Micronesia, and the Pitcairn Group, Southeast Polynesia	East profile at Down Fence	Pitcairn Islands	Pitcairn group	Pacific	soil	140	FALSE	unknown		no	24	pollen;spores	none	none
6156721	included	-27.14999962	-109.4333344	425	A plant microfossil record of Late Quaternary environments and human activity from Rano Aroi and surroundings, Easter Island	RAT	Rapa Nui	Rapa Nui	Pacific	soil	155	FALSE	unknown		no	20	pollen;macrofossils	lytostratigraphy;biosilicates	none
6171840	included	-62.16388702	-58.46666718	30	A recent pollen diagram from Antarctica (King George Island, South Shetland Islands)	Penguin Ridge	King George Island	South Shetland Islands	Antarctic	peatland	180	TRUE	0	180	no	33	pollen;spores	LOI	none
6156611	included	-38.96057129	174.4528198	25	Early Maori settlement impacts in northern coastal Taranaki, New Zealand	Mimi	North Island	New Zealand	Pacific	wetland	218	TRUE	0	218	no	20	pollen	charcoal	none
6168635	included	-43.99356842	-76.5753479	100	The Influence of Man at a Quarry Site Nairn River Valley Chatham Island New-Zealand	Nairn River Valley	Chatham Island	New Zealand	Pacific	peatland	220	TRUE	0	220	no	4	pollen	none	none
6158327	included	-38.94664764	177.0392609	424	Dating initial Maori environmental impact in New Zealand	Rotonuiaha	North Island	New Zealand	Pacific	lake	unknown	TRUE	0		unknown	58	pollen	none	none
6156864	included	-35.46666718	174.7333374	0	Use of Pollen and Ancient DNA as Conservation Baselines for Offshore Islands in New Zealand	Tawhiti Rahi	Poor Knights Islands	New Zealand	Pacific	soil	unknown	FALSE	unknown		unknown	23	pollen	charcoal	none
6156420	included	-35.47210312	174.7354279	24	Island biodiversity conservation needs palaeoecology	Poor Knights Islands	Poor Knights Islands	New Zealand	Pacific	soil	unknown	TRUE	0		unknown	22	pollen	charcoal	none
6169954	included	-40.33479691	175.8353577	67	Late quaternary palynology of the southern Ruahine Range North Island, New Zealand	East Ballantrae, Ruahine Range	North Island	New Zealand	Pacific	soil	10650	FALSE	10350	300	no	8	pollen	sedimentology	none
6157022	included	-44.03333282	170.1166687	830	Cooling and changing seasonality in the Southern Alps, New Zealand during the Antarctic Cold Reversal	Boundary Stream Tarn	South Island	New Zealand	Pacific	lake	14800	FALSE	9971	4829	no	10	pollen	chirominids	none
6171839	included	70.92001343	-8.899078369	12	Five Short Pollen Diagrams of Soils from Jan Mayen Norway a Testimony of a Dynamic Landscape	Sjuhollendarbukta	Jan Mayen	Jan Mayen	Arctic	peatland	350	FALSE	-33	383	yes	24	pollen;spores	none	none
6156611	included	-38.97099686	174.4304352	16	Early Maori settlement impacts in northern coastal Taranaki, New Zealand	Waitoetoe A	North Island	New Zealand	Pacific	wetland	352	TRUE	0	352	no	20	pollen	charcoal	none
6156885	included	-37.075217	-12.315852	58	A pollen record of the last 450 years from a lowland peat bog on Tristan da Cunha, South Atlantic, implying early anthropogenic influence	Jenny’s Waterrun	Tristan da Cunha	Tristan da Cuhna	Atlantic	peatland	365	FALSE	unknown		no	19	pollen;spores	magnetic susceptibility	none
6171197	included	66.08333588	-20.26666641	26	Dynamic sea-level change during the last deglaciation of northern Iceland	Geitakarlsvotn	Iceland	Iceland	Atlantic	lake	10060	FALSE	9570	490	no	41	pollen summary	none	none
6158937	included	-49.41805649	69.6736145	100	DNA from lake sediments reveals long-term ecosystem changes after a biological invasion	la Poule	Kerguelen	Kerguelen	Sub-Antarctic	lake	400	FALSE	unknown		yes	21	dna;npp	sporormiella;climate	none
