Application ID	In Country?	App Type	Traditional Building	Case Officer	Decision Level	PO Decision	HP12 Relevant	HP12: Abandoned	HP12: Historic / Architectural Assessment Person	HP12: Stated Historic or Architectural Interest	HP12: Capable of Renovation	HP12 Passes?	HP14 Relevant	HP14A: On Footprint	HP14A: Less than 50% increase	HP14A: Exception1 (Poor form -> more traditional)	HP14A; Exception2 (less visual impact)	HP14A: Complies?	HP14B: 3/91 Compliance	HP14B: High-Quality Design with 'No Adverse Visual Impact'	HP14B: Complies?	HP14C: Reuse of Stone and Slate	HP14D: New fabric matches original building	HP14 Passes?	Application Passes 'Replacement Dwelling' Policy?	Pass Score (HP12)	Pass Score (HP14)	Pass Score for this Application	Assessment Score HP12 (2or3=pass)	Assessment Score HP14 (3=pass)	Assessment Bonus Score (max=2)	Assessment Score Overall (5/6=pass/7/8max)	Compliance Score HP12 (2or3=pass)	Compliance Score HP14 (3=pass)	Compliance Exception Modifier HP14 (3=max)	Compliance Bonus Score (max=2)	Compliance Score Overall (5/6=pass/ 7/8=max)	Compliance %	HP12 Compliance %	HP14 Compliance %	Compliance Status	Policy Balance Score	Reason for refusal: points gained	Reason for refusal: detail	Application Type	Local Authority	Date Submitted	Advertised As	Available Online	Status	LatDD	LonDD	Land Designation	Is Countryside	Plan Used	Case Officer	Signed By	Same Countersignatory	Site Visit Conducted	Recommended Permitted	Decision Level	Committee or PO Permitted	High Landscape Value (1982)	Archeological Interest (1982)	"Vernacular, Traditional, or Pre-1920 Building(s) to be Demolished"	Building Classification	Building Detailed Description	Housing Policy 12 Included	Housing Policy 13 Included	Housing Policy 14 Included	Passed HP12 (PO)	Passed HP13 (PO)	Passed HP14 (PO)	Abandoned / Lost Habitable Status (PO Assessment)	Abandoned Excerpts	Historic Assessment Level	Additional Evidence of Historic / Architectural Interest	Objector(s) on Historic / Arc Interest Grounds	Historic / Arc Interest	Architectural and Historic Interest Expcerts	Renovation Comments	Capable of Renovation	Structural Condition of Building	On Existing Footprint	Buildings included in original floor area	Original Floor Area	New Floor Area	Percent Original Floor Area	Curtilage Size	Curtilage Notes	Passes 3/91 P2-P7 Generally (Vernaculars)?	3/91 P2	3/91 P3	3/91 P4	3/91 P5	3/91 P6	3/91 P7	3/91 P8 (Larger house in own grounds)	3/91 Excerpts	Siting / Design: Less Visual Impact	Visual Impact: Language Used	Existing Deemed Poor Form	Existing Deemed Poor Condition	Exceptional: New Property is 'High-Quality' Design with No Adverse Visual Impact	Reuse of Stone and Slate	Matches original materials	Thought to Have More traditional character	Condition for Demolition	Condition to Record Site
17/01076/B	Yes	B	Yes	Senior Planning Officer 1	Committee	Yes	Yes	Yes	Planning Officer	Yes	Yes	No	Yes	No	No	No	No	No	No Assessment	No	No	No	No Assessment	No	No	3	3	6	3	2	0	5	0	0	0	0	0	0.00%	0.00%	0.00%	Fail	-5	0		B	MALEW	17-Oct-17	Demolition of existing dwelling (Gatekeeper Cottage) and erection of replica building on part of Field 434107 adjacent and erection of replacement dwelling and new access drive and associated landscaping incorporating part Field 434112 and associated works to existing access lane Gatekeepers Cottage Ballawoods Halt Ballasalla Isle Of Man 	Yes	Decision Issued	54.09949497	-4.61019898	Open Space	Yes	Southern Area Plan	Senior Planning Officer 1	Senior Planning Officer 1	Yes	01/06/2017	Yes	Committee	Yes	No	No	Yes	Railway Cottage	Railway keepers cottage from 1874 on steam railway	Yes	Yes	Yes	No	No	No	Yes	None	Planning Officer	Area Plan Designation; Strategic Plan Railway Provision	None	Yes	"""The existing gate keeper's cottage is acknowledged in the Area Plan as a building of historic interest due to its former function and the Plan recommends that where possible these should be retained and renovated. It is relevant, as pointed out by the applicant, that the proximity to the railway, together with its condition and size are likely to discourage any investment in the building which would see the building renovated and brought back to a residential or even a tourist use. As such, perhaps this site should be considered to merit a different approach rather than those set out in the Strategic Plan housing policies."""	"""the renovation of the cottage is unlikely to be achieved on its own"""	Yes	Condition such that renovation deemed unlikely	No	No Assessment	No Assessment	No Assessment	No Assessment	Unclear	"""Significantly larger"""	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	None	No	"""very limited visual impact"""	No	Yes	No	No	No Assessment	No Assessment	"""Prior to the occupation of the new dwelling hereby approved, the new store building, built to replicate Ballawoods gatekeeper's cottage, must be erected in accordance with the approved plans and be available for use as such. The replacement gatekeeper's cottage must be retained as such thereafter."""	
17/00591/B	Yes	B	Yes	Senior Planning Officer 1	Committee	Yes	No	No Assessment	None	No Assessment	No Assessment	No	Yes	No	No	No	No	No	Referenced without decision	No	No	Suggested in Condition	No Assessment	No	No	3	3	6	0	3	1	3	0	0	0	0	0	0.00%	0.00%	0.00%	Fail	-3	0		B	PATRICK	05-Jun-17	Erection of a replacement detached dwelling with associated ancillary living accommodation Cronk House Ballavagher Road St Johns Isle Of Man IM4 3JF	Yes	Decision Issued	54.19039139	-4.633616338	Reclamation	Yes	Isle of Man Development Plan Order 1982 	Senior Planning Officer 1	Senior Planning Officer 1	Yes	04/01/2017	Yes	Committee	Yes	Yes	No	Yes	Vernacular Farmhouse; Outbuildings	Traditional Manx farmhouse and two outbuildings (undescribed)	No	No	Yes	No Assessment	No Assessment	No	No Assessment	None	None	None	None	No Assessment	None	None	No Assessment	No Assessment	No	Existing dwelling	91.5	516	563.9344262	Unclear	Building to be placed 'partially' on footprint of existing outbuildings	Referenced without decision	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	"""The scheme has been designed with traditional references to the larger Manx rural house: the main two storey element will have dimensions of 15.4m by 9.6m which is larger than the traditional Manx farmhouse described in Planning Circular 3/91 (11m by 5.5m) but still displaying the appropriate proportions, window styles. Some of the detailing, such as the heavy parapet work at eaves level and the style of front porch give the impression of a larger, quarterland type farmhouse of which this is a good replication. """	No	"""little visual impact"""	No	No Assessment	No	Suggested in Condition	No Assessment	No Assessment	"""The existing cottage must be demolished and all material removed from site (or re-used in the new development) within 28 days of the completion of the new dwelling."""	
17/00540/B	Yes	B	Yes	Senior Planning Officer 1	Committee	No	Yes	Yes	Planning Officer	Yes	Yes	No	Yes	No	No	No	No	No	No Assessment	No	No	No	No Assessment	No	No	3	3	6	3	2	0	5	0	0	0	0	0	0.00%	0.00%	0.00%	Fail	5	5	General Policy 3	B	MALEW	18-May-17	Replacement of existing redundant dwelling with new dwelling including new access drive and incorporating part of field 434112 within the domestic curtilage Ballawoods Gatekeepers Cottage Off Douglas Road Ballasalla Isle Of Man 	Yes	Decision Issued			Open Space	Yes	Southern Area Plan	Senior Planning Officer 1	Senior Planning Officer 1	Yes	01/06/2017	No	Committee	No	No	No	Yes	Railway Cottage	Railway keepers cottage from 1874 on steam railway	Yes	Yes	Yes	No	No	No	Yes	None	Planning Officer	Area Plan Designation; Strategic Plan Railway Provision	None	Yes	"""The existing gate keeper's cottage is acknowledged in the Area Plan as a building of historic interest due to its former function and the Plan recommends that where possible these should be retained and renovated. It is relevant, as pointed out by the applicant, that the proximity to the railway, together with its condition and size are likely to discourage any investment in the building which would see the building renovated and brought back to a residential or even a tourist use. As such, perhaps this site should be considered to merit a different approach rather than those set out in the Strategic Plan housing policies."""	"""the renovation of the cottage is unlikely to be achieved on its own"""	Yes	Condition such that renovation deemed unlikely	No		76	380	500	Unclear	"""Significantly larger"""	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	None	No	"""detrimental to the outlook of the railway"""	No	Yes	No	No	No Assessment	No Assessment	None	
17/00516/B	Yes	B	No	Junior Planning Officer 5	Senior Planning Officer	Yes	No	No Assessment	None	No Assessment	No Assessment	No	Yes	No Assessment	No	No	No	No	No Assessment	No Assessment	No	No	No Assessment	No	No	3	3	6	0	2	0	2	0	0	0	0	0	0.00%	0.00%	0.00%	Fail	-2	0		B	LEZAYRE	12-May-17	"Variation of condition one of PA 12/01606/B for the erection of a replacement dwelling, to extend the period of approval for a further 2 years Gareyford Garey Road Garey Ramsey Isle Of Man IM7 2EQ "	Yes	Decision Issued - Variation	54.32378099	-4.429472507	Private Woodland or Parkland	Yes	Ramsey Area Plan	Junior Planning Officer 5	Senior Planning Officer 1	No	No	Yes	Senior Planning Officer	Yes	Yes	No	No	Bungalow	1970s bungalow	No	No	Yes	No Assessment	No Assessment	No Assessment	No Assessment	None	None	None	None	No Assessment	None	None	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	None	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	None	No	"""no undue impact on the streetscene"""	No Assessment	No Assessment	No Assessment	No	No Assessment	No Assessment	None	
17/00454/B	Yes	B	Unable to determine from report	Junior Planning Officer 4	Senior Planning Officer	Yes	No	No Assessment	None	No Assessment	No Assessment	No	Yes	No Assessment	No	No	No Assessment	No	No Assessment	No Assessment	No	No	No Assessment	No	No	3	3	6	0	2	0	2	0	0	0	0	0	0.00%	0.00%	0.00%	Fail	-2	0		B	RUSHEN	25-Apr-17	Demolition of existing and erection of a replacement dwelling (amendments to PA 16/01160/B) Kilravock Shore Road Bay Ny Carrickey Port St. Mary Isle Of Man IM9 5LY	Yes	Decision Issued	54.08428709	-4.725322362	Not designated for development	Yes	Southern Area Plan	Junior Planning Officer 4	Senior Planning Officer 1	No	18/05/2017	Yes	Senior Planning Officer	Yes	No	No	Unable to determine from report	Unknown	"Single-storey, pitched roof property with painted render finish and slate roof"	No	No	Yes	No Assessment	No Assessment	No Assessment	No Assessment	None	None	None	None	No Assessment	None	None	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	Same	None	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	"""The design ethos of the dwelling will remain unchanged from the idiosyncratic but generally well-considered scheme previously approved."""	No Assessment	None	No Assessment	No Assessment	No Assessment	No	No Assessment	No Assessment	None	
17/00394/B	Yes	B	No	Senior Planning Officer 1	Committee	Yes	No	No Assessment	None	No Assessment	No Assessment	No	Yes	Unclear	No	No	No Assessment	No	No	No	No	Yes	Yes	No	No	3	3	6	0	3	2	3	0	0	0	2	0	0.00%	0.00%	0.00%	Fail	-3	0		B	RUSHEN	10-Apr-17	Erection of a replacement dwelling Clybane Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX	Yes	Decision Issued	54.08469237	-4.726072236	Open Space	Yes	Southern Area Plan	Senior Planning Officer 1	Senior Planning Officer 1	Yes	20/04/2017	Yes	Committee	Yes	No	No	No	Chalet	Timber-cladded chalet	No	No	Yes	No Assessment	No Assessment	Yes	No Assessment	None	None	None	None	No Assessment	No Assessment	None	No Assessment	No Assessment	Unclear	Existing dwelling and detached garage	71	225	316.9014085	Same	None	No	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	"""The design is not traditional in the true sense of Planning Circular 3/91. However, the context of any new building must always take account of the existing surroundings. In this case, none of the buildings along Bay ny Carrickey or Mount View Road is vernacular in the sense of Circular 3/91 and the more modern of these are designed with a more seaside type of character and finish, such as those being built on the site of the Motorlands Garage, very modern buildings with significant areas of glazing, such as Seascape, or a traditionally proportioned property with modern roofing shape, such as that approved at Kilravock and also reflective of the style of the existing Clybane. It is considered more appropriate to seek to design something which sits comfortably in its surroundings rather than to slavishly follow Planning Circular 3/91. Indeed, HP14 makes allowance for changes of size or siting where ""changes of siting or size would result in an overall environmental improvement"" and also uses the term ""generally"" in advising to follow policies 2-7 of Planning Circular 3/91 and also refers to exceptions where a more modern, innovative design is acceptable due to its high quality which would not result in an adverse visual impact. The policy also advises to re-use existing materials and to replicate existing finish materials, which is what is proposed in part and which would not be appropriate on a vernacular designed house."""	No Assessment	"""It is clear, through the references to replacement dwellings requiring generally to be traditionally designed but also that they should be finished to match the existing, that there are conflicts within this policy and it would be impossible in this case to follow all of its recommendations. It would also be very difficult or impossible to create a replacement dwelling which did not have a greater visual impact than the existing where what is proposed was a visual improvement on the existing, due to the existing property having a low pitched roof, part of which leads to the description of the existing dwelling being of poor form. It must follow, therefore, that the replacement dwelling will almost certainly be more visible than the existing and this is particularly the case if improved standards of visibility for those drivers emerging from the site are to be provided, involving the lowering of vegetation and the widening of the access. As such, in judging whether there would be less visual impact from the proposed dwelling, it is important to bear in mind that the new house will be taller and more easily seen, even were it to be a single storey property."""	Yes	No Assessment	No	Yes	Yes	No	None	None
17/00375/B	Yes	B	Yes	Senior Planning Officer 2	Committee	Yes	Yes	No	Planning Officer	Yes	No Assessment	No	Yes	Yes	Yes	No	No	Yes	Yes	No	Yes	No	No	Yes	No	3	3	6	2	3	0	5	1	3	0	1	4	66.67%	33.33%	100.00%	Fail	-1	0		B	LEZAYRE	04-Apr-17	Erection of a replacement dwelling (amendments to PA 16/01211/B) Clenagh Veg Clenagh Road Sulby Isle Of Man IM7 3AB	Yes	Decision Issued	54.32244266	-4.491493981	Woodland	Yes	Isle of Man Development Plan Order 1982 	Senior Planning Officer 2	Senior Planning Officer 2	Yes	No	Yes	Committee	Yes	No	No	Yes	Vernacular Farmhouse; Vernacular Stone Barn	Manx Farmhouse; Manx Barn	Yes	No	Yes	Yes	No Assessment	Yes	No	None	Planning Officer	None	None	Yes	"""In this case the existing dwelling has been adversely altered including single and two storey flat roofed extensions, inappropriate front porch extension, and removal of original sliding sash windows with brown uPVC casement windows, all of which impact the character of the dwelling, to such an extent which it is now considered the existing dwelling does not have much of its original architectural or historic interest. """	None	No Assessment	No Assessment	Yes	Existing dwelling	191	286	149.7382199	Same	None	Yes	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	"""The final aspect of the policy to considered is whether the design of the new building is in accordance with Policies 2-7 of the present Planning Circular 3/91. Certainly the main part of the dwellinghouse and the aspect of the dwelling which is most publically visible from the adjacent highway, does fully comply with Planning Circular 3/91 as it appears as a two storey farmhouse design with three upper windows over a central doorway flanked by a single window on each side. The proposal also in terms of proportion, form, finish and design complies with Circular 3/91."""	No	"""little if any visual impact"""	No Assessment	Yes	No	No	No	No Assessment	None	None
17/00214/B	Yes	B	Unable to determine from report	Senior Planning Officer 1	Committee	Yes	No	No Assessment	None	No Assessment	No Assessment	No	Yes	Partial	No	No	No	No	No	No	No	No	No Assessment	No	No	3	3	6	0	3	0	3	0	1	0	0	1	16.67%	0.00%	33.33%	Fail	-2	0		B	SANTON	27-Feb-17	Erection of a replacement dwelling Perk Cottage Knock Froy Road Santon Isle Of Man IM4 1JD	Yes	Decision Issued	54.13458773	-4.558869775	Not designated for development	Yes	Isle of Man Development Plan Order 1982 	Senior Planning Officer 1	Senior Planning Officer 1	Yes	21/11/2016	Yes	Committee	Yes	Yes	No	Unable to determine from report	Unknown	Single storey cottage	No	No	Yes	No Assessment	No Assessment	No Assessment	No Assessment	None	None	None	None	No Assessment	None	None	No Assessment	No Assessment	Partial	Existing dwelling	92	262	284.7826087	Unknown Increase	"""The residential curtilage is larger than the existing but not excessively so and provides a comfortable setting for the new house"""	No	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	None	No	"""greater impact"""	No	No Assessment	No	No	No Assessment	No Assessment	None	None
17/00155/B	Yes	B	Yes	Junior Planning Officer 1	Committee	Yes	Yes	No Assessment	Conservation Officer	Yes	No Assessment	No	Yes	No	No	No	No	No	No Assessment	No	No	No	No Assessment	No	No	3	3	6	1	2	0	3	0	0	0	0	0	0.00%	0.00%	0.00%	Fail	-3	0		B	MICHAEL	15-Feb-17	"Demolition of existing dwelling and ancillary outbuildings, retention of and alterations and extension to existing stone barns, and erection of a replacement dwelling, detached garage with storage above and detached agricultural building Ballarhenny Farm Orrisdale Kirk Michael Isle Of Man IM6 2HJ "	Yes	Decision Issued	54.29400187	-4.581024727	Not designated for development	Yes	Isle of Man Development Plan Order 1982 	Junior Planning Officer 1	Junior Planning Officer 1	Yes	01/03/2017	Yes	Committee	Yes	Yes	No	Yes	Georgian Farmhouse	"Substantial Georgian fronted two storey property which dates back to the 19th Century, "	Yes	No	Yes	Yes	No Assessment	Yes	No Assessment	None	Conservation Officer	Manx National Heritage; Isle of Man Natural History and Antiquarian Society	Manx National Heritage; Isle of Man Natural History and Antiquarian Society	Yes	None	None	No Assessment	No Assessment	No	Existing dwelling and associated stores	321	529	164.7975078	Unknown Increase	"""This results in a slight encroachment of residential curtilage into the field to the north east of the building group."""	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	None	No	"""not considered to adversely affect the visual appearance of the wider countryside"""	No	Yes	No	No	No Assessment	No Assessment	None	C 4. No development shall commence until a full and comprehensive photographic survey of Ballarhenny has been submitted to and agreed in writing by the Department. Reason: In order to retain a record of the site in the interests of local history. 
17/00070/B	Yes	B	No	Senior Planning Officer 2	Committee	Yes	Yes	No	Planning Officer	No	No Assessment	Yes	Yes	No	No	Yes	Yes	Yes	No Assessment	No	No	No	No	No	No	2	3	5	2	2	0	4	2	0	2	0	4	80.00%	100.00%	66.67%	Fail	0	0		B	LEZAYRE	26-Jan-17	Replacement dwelling on existing site Croit Aust Andreas Road Aust Ramsey Isle Of Man IM7 4EF	Yes	Decision Issued	54.34210077	-4.40681314	Private Woodland	Yes	Isle of Man Development Plan Order 1982 	Senior Planning Officer 2	Senior Planning Officer 2	Yes	07/02/2017	Yes	Committee	Yes	No	No	No	Non-Vernacular Cottage	Dwelling is single storey with an attached porch on the east elevation and a lean-to conservatory on the south elevation 	Yes	No	Yes	Yes	No Assessment	No	No	None	Planning Officer	None	None	No	"""In this instance the existing dwelling when first viewed could be considered to be of a traditional design and appearance. However, at closer inspection this is not the case. The building is fairly modern constructed of brick cavity walls with painted white rough render finish and artificial slate roof tiles. Furthermore, the chimney stack proportion, size and position are not of a traditional style, nor are the window sizes/proportions."""	None	No Assessment	No Assessment	No	Existing dwelling	61	242	396.7213115	Same	None	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	No Assessment	None	Yes	"""this new siting is of benefit to the character and appearance of the countryside, reducing built development directly onto a public highway"""	Yes	Yes	No	No	No	Yes	"""Prior to the occupation of the replacement dwelling hereby approved the existing dwelling is required to be demolished."""	
